model,base_model,reasoning,family,language,puzzle,truncated,n_correct_cells,n_cells,solved,params_b,log10_resource
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,256,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,866,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,289,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,540,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,212,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,439,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,687,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,702,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,717,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,522,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,150,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,519,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,990,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,795,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,760,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,915,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,406,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,745,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,561,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,547,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,960,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,413,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,306,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,520,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,963,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,852,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,480,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,737,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,395,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,944,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,935,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,358,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,153,0,0,6,0,27.781,7.0571
