file,model,language,n,has_boxed,extracted,correct,extracted_but_wrong,unparsed
logs/2026-07-02T07-23-13-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_Zjbh7z55y4HFfxH6FMeLPe.eval,vllm/allenai/OLMo-2-0425-1B-Instruct,isl,500,171,266,2,264,0
logs/2026-07-02T07-26-15-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_V9FKW8nAh5nhm7ZozrGbXN.eval,vllm/allenai/OLMo-2-1124-7B-Instruct,isl,500,119,215,7,208,0
logs/2026-07-02T07-29-45-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_GZ2L4nVAnKu3FWbgYgciDJ.eval,vllm/allenai/OLMo-2-1124-13B-Instruct,isl,500,478,481,86,395,0
logs/2026-07-02T07-34-27-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_mYdozptmcg9i2TcT7aA6AF.eval,vllm/allenai/OLMo-2-0325-32B-Instruct,isl,500,500,500,241,259,0
logs/2026-07-02T07-40-54-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_cmpxJa39epYq65RFsnRAp9.eval,vllm/ibm-granite/granite-3.2-2b-instruct,isl,500,229,238,13,225,0
logs/2026-07-02T07-45-01-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_XgNEKsCaf2qXEmnGtStRdd.eval,vllm/ibm-granite/granite-3.2-2b-instruct,isl,500,257,319,9,310,0
logs/2026-07-02T07-49-47-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_aUdVGLTeMHmjSYhnPxbcJR.eval,vllm/ibm-granite/granite-3.2-8b-instruct,isl,500,499,499,136,363,0
logs/2026-07-02T07-53-16-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_EkRQXar67ApyMn2wJy8YjV.eval,vllm/ibm-granite/granite-3.2-8b-instruct,isl,500,492,497,65,432,0
logs/2026-07-02T07-56-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_k6nAjcabLaykmaa5Q32zg8.eval,vllm/google/gemma-3-1b-it,isl,500,282,341,13,328,0
logs/2026-07-02T08-01-25-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_dMuVoW86APUaAjgiXtfTjy.eval,vllm/google/gemma-3-4b-it,isl,500,496,497,265,232,0
